29,Colossus,Colossus
30,TechLab,TechLab
31,Reactor,Reactor
33,InfestorTerran,InfestorTerran
34,BanelingCocoon,BanelingCocoon
35,Baneling,Baneling
36,Mothership,Mothership
37,PointDefenseDrone,PointDefenseDrone
38,Changeling,Changeling
39,ChangelingZealot,ChangelingZealot
40,ChangelingMarineShield,ChangelingMarine
41,ChangelingMarine,ChangelingMarine
42,ChangelingZerglingWings,ChangelingZergling
43,ChangelingZergling,ChangelingZergling
45,CommandCenter,CommandCenter
46,SupplyDepot,SupplyDepot
47,Refinery,Refinery
48,Barracks,Barracks
49,EngineeringBay,EngineeringBay
50,MissileTurret,MissileTurret
51,Bunker,Bunker
52,SensorTower,SensorTower
53,GhostAcademy,GhostAcademy
54,Factory,Factory
55,Starport,Starport
57,Armory,Armory
58,FusionCore,FusionCore
59,AutoTurret,AutoTurret
60,SiegeTankSieged,SiegeTankSieged
61,SiegeTank,SiegeTank
62,VikingAssault,VikingAssault
63,VikingFighter,VikingFighter
64,CommandCenterFlying,CommandCenterFlying
65,BarracksTechLab,BarracksTechLab
66,BarracksReactor,BarracksReactor
67,FactoryTechLab,FactoryTechLab
68,FactoryReactor,FactoryReactor
69,StarportTechLab,StarportTechLab
70,StarportReactor,StarportReactor
71,FactoryFlying,FactoryFlying
72,StarportFlying,StarportFlying
73,SCV,SCV
74,BarracksFlying,BarracksFlying
75,SupplyDepotLowered,SupplyDepotLowered
76,Marine,Marine
77,Reaper,Reaper
78,Ghost,Ghost
79,Marauder,Marauder
80,Thor,Thor
81,Hellion,Hellion
82,Medivac,Medivac
83,Banshee,Banshee
84,Raven,Raven
85,Battlecruiser,Battlecruiser
87,Nexus,Nexus
88,Pylon,Pylon
89,Assimilator,Assimilator
90,Gateway,Gateway
91,Forge,Forge
92,FleetBeacon,FleetBeacon
93,TwilightCouncil,TwilightCouncil
94,PhotonCannon,PhotonCannon
95,Stargate,Stargate
96,TemplarArchive,TemplarArchive
97,DarkShrine,DarkShrine
98,RoboticsBay,RoboticsBay
99,RoboticsFacility,RoboticsFacility
100,CyberneticsCore,CyberneticsCore
101,Zealot,Zealot
102,Stalker,Stalker
103,HighTemplar,HighTemplar
104,DarkTemplar,DarkTemplar
105,Sentry,Sentry
106,Phoenix,Phoenix
107,Carrier,Carrier
108,VoidRay,VoidRay
109,WarpPrism,WarpPrism
110,Observer,Observer
111,Immortal,Immortal
112,Probe,Probe
113,Interceptor,Interceptor
114,Hatchery,Hatchery
115,CreepTumor,CreepTumor
116,Extractor,Extractor
117,SpawningPool,SpawningPool
118,EvolutionChamber,EvolutionChamber
119,HydraliskDen,HydraliskDen
120,Spire,Spire
121,UltraliskCavern,UltraliskCavern
122,InfestationPit,InfestationPit
123,NydusNetwork,NydusNetwork
124,BanelingNest,BanelingNest
125,RoachWarren,RoachWarren
126,SpineCrawler,SpineCrawler
127,SporeCrawler,SporeCrawler
128,Lair,Lair
129,Hive,Hive
130,GreaterSpire,GreaterSpire
131,Egg,Egg
132,Drone,Drone
133,Zergling,Zergling
134,Overlord,Overlord
135,Hydralisk,Hydralisk
136,Mutalisk,Mutalisk
137,Ultralisk,Ultralisk
138,Roach,Roach
139,Infestor,Infestor
140,Corruptor,Corruptor
141,BroodLordCocoon,BroodLordCocoon
142,BroodLord,BroodLord
143,BanelingBurrowed,BanelingBurrowed
144,DroneBurrowed,DroneBurrowed
145,HydraliskBurrowed,HydraliskBurrowed
146,RoachBurrowed,RoachBurrowed
147,ZerglingBurrowed,ZerglingBurrowed
148,InfestorTerranBurrowed,InfestorTerranBurrowed
153,QueenBurrowed,QueenBurrowed
154,Queen,Queen
155,InfestorBurrowed,InfestorBurrowed
156,OverlordCocoon,OverlordCocoon
157,Overseer,Overseer
158,PlanetaryFortress,PlanetaryFortress
159,UltraliskBurrowed,UltraliskBurrowed
160,OrbitalCommand,OrbitalCommand
161,WarpGate,WarpGate
162,OrbitalCommandFlying,OrbitalCommandFlying
163,ForceField,ForceField
164,WarpPrismPhasing,WarpPrismPhasing
165,CreepTumorBurrowed,CreepTumorBurrowed
166,SpineCrawlerUprooted,SpineCrawlerUprooted
167,SporeCrawlerUprooted,SporeCrawlerUprooted
168,Archon,Archon
169,NydusCanal,NydusCanal
171,RichMineralField,RichMineralField
173,XelNagaTower,XelNagaTower
176,InfestedTerransEgg,InfestedTerransEgg
177,Larva,Larva
185,MULE,MULE
208,Broodling,Broodling
228,Lyote,Lyote
229,CarrionBird,CarrionBird
230,KarakMale,Karak
231,KarakFemale,Karak
232,UrsadakMale,Ursadak
233,UrsadakFemale,Ursadak
234,UrsadakCalf,Ursadak
235,UrsadakMaleExotic,Ursadak
236,UrsadakFemaleExotic,Ursadak
237,UtilityBot,UtilityBot
238,CommentatorBot1,CommentatorBot
239,CommentatorBot2,CommentatorBot
240,CommentatorBot3,CommentatorBot
241,CommentatorBot4,CommentatorBot
242,Scantipede,Scantipede
248,MineralField,MineralField
249,VespeneGeyser,VespeneGeyser
250,SpacePlatformGeyser,SpacePlatformGeyser
251,RichVespeneGeyser,RichVespeneGeyser
252,DestructibleSearchlight,DestructibleDoodad
